"idcomunidad","comunidad","num_incendios","supquemada","median_llegpmt","median_ctrl","median_ext"
1,"EUSKADI",1307,6161.1500,21,90,155
2,"CATALUÑA",8195,48244.0600,15,50,99
3,"GALICIA",85659,360785.2900,15,55,105
4,"ANDALUCIA",11310,140800.0200,25,78,158
5,"ASTURIAS",11072,74728.3800,42,118.5,156
6,"CANTABRIA",5665,60157.7100,30,135,195
7,"LA RIOJA",1139,1761.7800,18,70,110
8,"MURCIA",1540,3869.4000,20,50,96.5
9,"C. VALENCIANA",5200,93954.8600,21,75,165
10,"ARAGON",5039,40770.6800,25,70,151
11,"CASTILLA-MANCHA",11371,87615.1100,23,56,110
12,"CANARIAS",1309,57500.9100,18,52,126
13,"NAVARRA",4482,8373.8300,18,60,81
14,"EXTREMADURA",11585,122061.7500,15,69,122
15,"ILLES BALEARS",1584,7732.8600,20,60,128
16,"MADRID",3772,15237.6600,20,39,92.5
17,"CASTILLA Y LEON",22618,264133.4900,20,70,135
0,"ESPAÑA",192850,1393909.9400,20,63,120
