"idcomunidad","idCCAA_INE","comunidad","anio","num_incendios","supquemada","median_llegpmt","median_ctrl","median_ext"
"4","01","ANDALUCIA","2001","863","7235.78","20","75","135"
"4","01","ANDALUCIA","2002","848","9568.3","22","75","150"
"4","01","ANDALUCIA","2003","997","11622","20","80","155"
"4","01","ANDALUCIA","2004","942","49898","24.5","80","165"
"4","01","ANDALUCIA","2005","1351","14339.3","28","80","165"
"4","01","ANDALUCIA","2006","823","5406.87","25","71","140"
"4","01","ANDALUCIA","2007","811","6249.75","28","70","150"
"4","01","ANDALUCIA","2008","764","2893.81","27","70","150"
"4","01","ANDALUCIA","2009","1000","13537.3","26.5","78","170"
"4","01","ANDALUCIA","2010","541","1489.83","28","75","150"
"4","01","ANDALUCIA","2011","739","3048.27","31","80","160"
"10","02","ARAGON","2001","330","4341.91","20","65","162.5"
"10","02","ARAGON","2002","275","1428.73","25","80","167"
"10","02","ARAGON","2003","309","1477.93","24","70","158"
"10","02","ARAGON","2004","405","1228.51","20","70","150"
"10","02","ARAGON","2005","643","2010.5","20","70","150"
"10","02","ARAGON","2006","377","2132.86","25","70","160"
"10","02","ARAGON","2007","401","1855.5","25","70","165"
"10","02","ARAGON","2008","345","2485.76","20","60","135"
"10","02","ARAGON","2009","436","13186.5","27","69","155.5"
"10","02","ARAGON","2010","335","1138.25","25","60","135"
"10","02","ARAGON","2011","435","895.52","25","70","150"
"5","03","ASTURIAS","2001","482","1661.57","31.5","107","158.5"
"5","03","ASTURIAS","2002","610","8822.98","30","139.5","190"
"5","03","ASTURIAS","2003","792","4149.87","36","125","185"
"5","03","ASTURIAS","2004","679","2300.46","35","110","150"
"5","03","ASTURIAS","2005","820","4682.57","44","130","193.5"
"5","03","ASTURIAS","2006","848","6477.25","42","111","153"
"5","03","ASTURIAS","2007","474","1954.07","40","98","135.5"
"5","03","ASTURIAS","2008","783","3507.99","45","113","142"
"5","03","ASTURIAS","2009","704","5585.02","54","128","161.5"
"5","03","ASTURIAS","2010","971","5257.3","44","118","145"
"5","03","ASTURIAS","2011","918","11456.5","51","129.5","168"
"15","04","ILLES BALEARS","2001","127","332.81","20","66","165"
"15","04","ILLES BALEARS","2002","73","57.82","20","45","96"
"15","04","ILLES BALEARS","2003","126","219.08","15","47","118.5"
"15","04","ILLES BALEARS","2004","170","136.85","20","58","130.5"
"15","04","ILLES BALEARS","2005","141","347.39","19","49","124"
"15","04","ILLES BALEARS","2006","121","164.79","22","59","119"
"15","04","ILLES BALEARS","2007","111","123.88","21","56","133"
"15","04","ILLES BALEARS","2008","115","44.06","20","62","118"
"15","04","ILLES BALEARS","2009","113","109.45","19","56","100"
"15","04","ILLES BALEARS","2010","99","605.53","22","67","117"
"15","04","ILLES BALEARS","2011","152","2341.1","20","79","143.5"
"12","05","CANARIAS","2001","58","277.47","15","72.5","152.5"
"12","05","CANARIAS","2002","43","118.2","15","45","93"
"12","05","CANARIAS","2003","71","421.39","20","55","168"
"12","05","CANARIAS","2004","88","272.83","18","75","186"
"12","05","CANARIAS","2005","132","2143.12","19.5","52.5","127.5"
"12","05","CANARIAS","2006","99","1608.24","21","59","146"
"12","05","CANARIAS","2007","121","35743.6","20","62","120"
"12","05","CANARIAS","2008","132","425.55","15","40","93"
"12","05","CANARIAS","2009","120","3613.53","15","40.5","100.5"
"12","05","CANARIAS","2010","111","198.68","18","40","106"
"12","05","CANARIAS","2011","98","59.12","15","52","120"
"6","06","CANTABRIA","2001","351","2039.82","30","165","225"
"6","06","CANTABRIA","2002","366","7940.8","30","200","285"
"6","06","CANTABRIA","2003","239","2223.26","30","180","270"
"6","06","CANTABRIA","2004","163","1287.87","30","135","195"
"6","06","CANTABRIA","2005","424","3807.82","30","150","225"
"6","06","CANTABRIA","2006","383","3607.82","30","150","210"
"6","06","CANTABRIA","2007","276","3229.74","30","120","165"
"6","06","CANTABRIA","2008","388","4986.61","30","135","207.5"
"6","06","CANTABRIA","2009","720","5112.58","30","115","150"
"6","06","CANTABRIA","2010","682","6271.55","30","120","179.5"
"6","06","CANTABRIA","2011","693","7657.66","30","120","180"
"17","07","CASTILLA Y LEON","2001","1779","23879.3","20","90","165"
"17","07","CASTILLA Y LEON","2002","1296","12090.1","20","90","150"
"17","07","CASTILLA Y LEON","2003","1425","28297.9","18","75","150"
"17","07","CASTILLA Y LEON","2004","1727","14303.5","20","75","148"
"17","07","CASTILLA Y LEON","2005","2442","38414","20","75","142"
"17","07","CASTILLA Y LEON","2006","1419","14470.2","20","60","121"
"17","07","CASTILLA Y LEON","2007","1314","8274.4","20","60","120"
"17","07","CASTILLA Y LEON","2008","1901","14891.7","20","65","120"
"17","07","CASTILLA Y LEON","2009","2512","29951.6","20","70","131"
"17","07","CASTILLA Y LEON","2010","1104","8410.44","21","58","122"
"17","07","CASTILLA Y LEON","2011","2064","16131.1","21","67","138.5"
"11","08","CASTILLA-MANCHA","2001","849","5896.47","20","60","109"
"11","08","CASTILLA-MANCHA","2002","941","6237.2","25","60","110"
"11","08","CASTILLA-MANCHA","2003","1035","10843","20","55","110"
"11","08","CASTILLA-MANCHA","2004","1349","5727.78","20","51","94"
"11","08","CASTILLA-MANCHA","2005","1073","22637.3","24","60","120"
"11","08","CASTILLA-MANCHA","2006","682","4609.03","22","50","109.5"
"11","08","CASTILLA-MANCHA","2007","691","2026.14","24","53","105"
"11","08","CASTILLA-MANCHA","2008","709","1974.66","27","52","100"
"11","08","CASTILLA-MANCHA","2009","893","8209.07","22","53","113"
"11","08","CASTILLA-MANCHA","2010","455","602.48","23","49","105"
"11","08","CASTILLA-MANCHA","2011","735","2175.88","25","56","116"
"2","09","CATALUÑA","2001","722","2994.88","15","45","90"
"2","09","CATALUÑA","2002","543","2099.64","16","49","100"
"2","09","CATALUÑA","2003","693","9743.15","15","49","95"
"2","09","CATALUÑA","2004","564","1067.68","15","50","95"
"2","09","CATALUÑA","2005","889","5487.96","15","55","110"
"2","09","CATALUÑA","2006","628","3404.68","15","45","94.5"
"2","09","CATALUÑA","2007","578","1612.16","15","49","95"
"2","09","CATALUÑA","2008","421","577.4","15","50","95"
"2","09","CATALUÑA","2009","747","3452.97","15","50","98"
"2","09","CATALUÑA","2010","474","618.87","15","45","90"
"2","09","CATALUÑA","2011","586","1097.57","15","50","104"
"9","10","C. VALENCIANA","2001","421","4344.98","20","65","160"
"9","10","C. VALENCIANA","2002","290","1190.67","20","75","150"
"9","10","C. VALENCIANA","2003","353","3293.11","20","65","165"
"9","10","C. VALENCIANA","2004","434","1089.29","25","75","165"
"9","10","C. VALENCIANA","2005","631","2229.7","20","70","150"
"9","10","C. VALENCIANA","2006","451","3471.24","23","75","165"
"9","10","C. VALENCIANA","2007","366","8219.4","24","75","165"
"9","10","C. VALENCIANA","2008","322","730.18","20","68.5","147"
"9","10","C. VALENCIANA","2009","423","2932.06","20","70","160"
"9","10","C. VALENCIANA","2010","326","5649.48","25","70","165"
"9","10","C. VALENCIANA","2011","413","2435.77","23","84","178"
"14","11","EXTREMADURA","2001","1030","10976.5","15","55","93.5"
"14","11","EXTREMADURA","2002","957","10630.8","15","60","100"
"14","11","EXTREMADURA","2003","1180","32432.1","15","60","100"
"14","11","EXTREMADURA","2004","1426","15757","15","60","100"
"14","11","EXTREMADURA","2005","930","16808.6","15","67","120"
"14","11","EXTREMADURA","2006","671","6524.02","15","60","120"
"14","11","EXTREMADURA","2007","678","5905.04","15","70","118.5"
"14","11","EXTREMADURA","2008","824","2238.08","20","80","156"
"14","11","EXTREMADURA","2009","837","5691.6","19","70","145"
"14","11","EXTREMADURA","2010","545","2241.34","15","75","153"
"14","11","EXTREMADURA","2011","847","4067.77","20","75","160"
"3","12","GALICIA","2001","9905","17755.2","15","60","100"
"3","12","GALICIA","2002","10686","25813.9","15","55","100"
"3","12","GALICIA","2003","8494","19737.3","15","55","100"
"3","12","GALICIA","2004","10560","31939.3","15","55","95"
"3","12","GALICIA","2005","11963","55479.4","15","55","104"
"3","12","GALICIA","2006","6832","92358.6","20","65","135"
"3","12","GALICIA","2007","3139","7018.74","18","50","100"
"3","12","GALICIA","2008","2545","6335.77","19","51","90"
"3","12","GALICIA","2009","3967","10711.1","17","53","107"
"3","12","GALICIA","2010","3836","14787.1","16","52","118.5"
"3","12","GALICIA","2011","6342","42390.5","18","60","132"
"16","13","MADRID","2001","294","1801.94","21.5","45","113"
"16","13","MADRID","2002","312","1630.12","19.5","42","99"
"16","13","MADRID","2003","322","3032.47","23","50","113.5"
"16","13","MADRID","2004","372","1627.36","19","38","91"
"16","13","MADRID","2005","423","824.851","22","40","95"
"16","13","MADRID","2006","269","1094.93","21","36","94"
"16","13","MADRID","2007","230","449.75","20","36","81"
"16","13","MADRID","2008","219","334.87","21","39","78"
"16","13","MADRID","2009","323","324.6","20","40","93"
"16","13","MADRID","2010","173","100.97","20","40","71"
"16","13","MADRID","2011","272","376.85","19","37","82"
"8","14","MURCIA","2001","134","80.39","20","50","90"
"8","14","MURCIA","2002","135","75.14","20","50","95"
"8","14","MURCIA","2003","147","99.35","20","55","90"
"8","14","MURCIA","2004","101","159.01","20","50","90"
"8","14","MURCIA","2005","115","245.58","20","60","115"
"8","14","MURCIA","2006","85","71.13","20","45","90"
"8","14","MURCIA","2007","100","70.43","20","50","120"
"8","14","MURCIA","2008","108","162.25","17","42.5","85.5"
"8","14","MURCIA","2009","120","111.63","20","46.5","102.5"
"8","14","MURCIA","2010","131","754.98","20","45","95"
"8","14","MURCIA","2011","129","476.42","20","49","95"
"13","15","NAVARRA","2002","41","171.88","20","45","104"
"13","15","NAVARRA","2003","125","225.02","20","59","103"
"13","15","NAVARRA","2004","102","108.1","20.5","59","92"
"13","15","NAVARRA","2005","670","1364.02","18","37","89"
"13","15","NAVARRA","2006","118","329.83","20","46.5","74"
"13","15","NAVARRA","2007","503","473.261","16","50","79"
"13","15","NAVARRA","2008","584","1110.85","15","74","80"
"13","15","NAVARRA","2009","666","1744.12","17","68","87"
"13","15","NAVARRA","2010","592","643.28","17","60","80"
"13","15","NAVARRA","2011","165","176.06","21","69","91"
"1","16","EUSKADI","2001","119","604.4","25","120","165"
"1","16","EUSKADI","2002","152","1496.18","30","102.5","181.5"
"1","16","EUSKADI","2003","110","691.24","30","115","195"
"1","16","EUSKADI","2004","61","108.52","20","90","155"
"1","16","EUSKADI","2005","90","393.44","25","120","225"
"1","16","EUSKADI","2006","64","42.73","17.5","60","120"
"1","16","EUSKADI","2007","66","105.56","20.5","120","169"
"1","16","EUSKADI","2008","78","238.7","20","94.5","135"
"1","16","EUSKADI","2009","83","758.78","25","70","130"
"1","16","EUSKADI","2010","114","782.84","17.5","95.5","169"
"1","16","EUSKADI","2011","139","424.37","20","85","150"
"7","17","LA RIOJA","2001","114","307.48","17","90","136"
"7","17","LA RIOJA","2002","106","153.8","16","75","110.5"
"7","17","LA RIOJA","2003","63","102.01","15","65","105"
"7","17","LA RIOJA","2004","46","25.67","15","75","114.5"
"7","17","LA RIOJA","2005","103","168.89","19","60","99"
"7","17","LA RIOJA","2006","73","49.87","17","60","96"
"7","17","LA RIOJA","2007","92","69.47","20","71.5","114.5"
"7","17","LA RIOJA","2008","110","71.56","17.5","70","100"
"7","17","LA RIOJA","2009","112","336.68","15","69.5","115"
"7","17","LA RIOJA","2010","105","279.05","20","60","110"
"7","17","LA RIOJA","2011","79","60.62","20","64","113"
"18","18","CEUTA","2004","3","21","15","255","420"
